id,label,0,1,2,3,4,5,6,7,8,9
1.0,1.0,-0.941,-0.9748,-0.9793,-0.9913,-0.993,-0.9934,-0.8408,-0.9328,-0.9729,-0.9601
2.0,2.0,0.7435,-0.8036,0.9913,0.9829,0.9947,0.9958,0.9931,-0.1909,-0.8824,0.9895
3.0,3.0,0.9543,0.9872,0.9919,0.9923,0.9942,0.9979,0.9962,0.9867,0.9569,-0.5522
4.0,4.0,0.8844,-0.5767,-0.9031,-0.5664,-0.9432,-0.8726,-0.9506,-0.9827,-0.926,-0.9661
5.0,5.0,-0.9939,-0.8828,-0.9927,-0.9977,-0.9974,-0.9986,-0.9885,-0.9971,-0.9984,-0.9982
6.0,6.0,-0.853,-0.9478,0.7559,0.7856,-0.9675,-0.8917,-0.9936,-0.9951,-0.9971,-0.9966
7.0,7.0,0.9711,0.9645,0.9913,0.996,0.9962,0.9974,0.9984,0.9988,0.9989,0.9987
8.0,8.0,0.9652,0.9889,0.9915,0.998,0.998,0.992,0.9142,0.989,0.9956,0.9898
9.0,9.0,0.974,0.9816,0.9623,-0.9164,0.5828,-0.9242,-0.9337,-0.863,-0.9879,-0.9932
10.0,10.0,-0.8991,-0.9743,-0.989,-0.9737,-0.9824,-0.9642,-0.9811,-0.9902,-0.9965,-0.9965
11.0,11.0,0.8225,0.8385,-0.5696,-0.2808,0.9097,0.913,0.913,0.9569,0.9569,0.9734
12.0,12.0,0.9951,0.9975,0.9947,0.9974,0.9957,0.9975,0.9943,0.9969,0.9979,0.9961
13.0,13.0,-0.3742,-0.8199,-0.984,-0.9918,-0.9941,-0.9954,-0.9955,-0.995,-0.9982,-0.9976
14.0,14.0,0.9659,0.9918,0.9979,0.9944,0.9965,0.9976,0.9972,0.9983,0.9423,0.9974
15.0,15.0,0.9405,0.9797,0.9968,0.9971,0.994,0.9064,0.98,0.9867,-0.8907,0.9925
16.0,16.0,-0.9151,-0.9864,-0.9966,-0.9977,-0.9952,-0.9948,-0.9949,-0.9933,-0.9879,-0.993
17.0,17.0,0.894,0.9769,0.9887,0.988,0.9902,0.9897,0.9839,-0.6806,0.7913,-0.9561
18.0,18.0,0.9661,0.9927,0.9948,0.9981,0.9968,0.9972,0.997,0.9937,0.9951,0.998
19.0,19.0,0.992,0.8807,0.9444,0.9961,0.9953,-0.9915,-0.9976,-0.9958,-0.9803,0.1847
20.0,20.0,0.6152,0.1815,-0.975,-0.7809,-0.674,-0.9907,-0.9936,-0.9978,-0.986,-0.8578
21.0,21.0,0.9526,0.9099,0.9963,0.9981,0.9973,0.9958,0.9951,-0.8895,-0.9276,0.99
22.0,22.0,0.4659,-0.989,-0.9959,-0.9977,-0.9973,-0.9976,-0.9959,-0.9917,-0.9913,-0.9935
23.0,23.0,0.922,0.8946,0.7142,0.9357,0.5865,0.7892,0.9889,0.9919,0.9913,0.9941
24.0,24.0,-0.9345,-0.9885,-0.988,-0.7996,0.9425,-0.9774,-0.9947,-0.9968,-0.9989,-0.9997
25.0,25.0,0.9925,0.7939,0.9051,0.9792,0.9939,0.9823,0.9882,0.9955,0.9985,0.9978
26.0,26.0,0.8087,-0.7163,0.9961,0.9947,0.7686,-0.9944,-0.9968,-0.9981,-0.9966,-0.6795
27.0,27.0,-0.8773,-0.9895,-0.996,-0.9878,-0.9949,-0.9693,0.9714,0.987,0.9713,-0.9278
28.0,28.0,-0.666,-0.8731,-0.9572,-0.9605,-0.933,-0.9792,-0.9313,-0.9898,-0.9901,-0.9933
29.0,29.0,0.4215,0.0772,-0.0772,-0.797,-0.5873,-0.9584,-0.9306,-0.9668,-0.9971,-0.9991
30.0,30.0,-0.9992,-0.9993,-0.9993,-0.9993,-0.9993,-0.9993,-0.9993,-0.9993,-0.9993,-0.9993
31.0,31.0,,,,,,,,,,
