,agent,agent_preference,num_connections,agent_connections
1,1,extraordinary evidence at treasury committee from jon thompson ceo of hmrc on customs and brexit today,11,"[46, 37, 6, 34, 13, 19, 39, 14, 2, 25, 38]"
2,2,the brexiter favourite max fac  would cost business between  and bn a year thats almost  of gdp jus,3,"[21, 3, 26]"
3,3,how does he arrive at the figurem export consignments at an average cost of  each  bn times two be,2,"[8, 34]"
4,4,theresa mays new customs partnership is much cheaper for business almost zero cost  because it seeks to replicat,5,"[46, 25, 31, 22, 40]"
5,5,mr thompson said he did not expect the eu to reciprocate over the customs partnership what that means is uk coll,2,"[12, 3]"
6,6,both would not be ready by  max fac needs  years customs partnership requires  mr thompson saidthe bord,5,"[5, 40, 10, 32, 46]"
7,7,is under so many federal investigations and reviews its getting hard to keep track right now h,13,"[33, 5, 14, 1, 12, 8, 9, 35, 17, 19, 25, 46, 32]"
8,8,is under so many federal investigations and reviews its getting hard to keep track right now h,10,"[30, 1, 15, 14, 31, 33, 36, 39, 49, 47]"
9,9,investigations  through  all of these are under the  looking into actions like,8,"[21, 47, 13, 2, 6, 31, 3, 16]"
10,10,is also reviewing whether s pal samantha dravis was col,9,"[8, 39, 15, 1, 5, 46, 22, 21, 11]"
11,11,its not just the  whos interested in pruitt  the  commit,5,"[34, 28, 39, 43, 49]"
12,12,investigations  amp   is in trouble with the,8,"[30, 48, 6, 9, 33, 35, 3, 7]"
13,13,not to be outdone investigations  and,10,"[16, 10, 27, 14, 45, 34, 35, 12, 9, 44]"
14,14,this is wrong the judge canwill make a condition ofclause in any probation suspended sentence deferred sentenc,6,"[18, 43, 11, 19, 31, 25]"
15,15,this is wrong the judge canwill make a condition ofclause in any probation suspended sentence deferred sentenc,12,"[32, 34, 3, 17, 30, 4, 24, 46, 37, 28, 23, 45]"
16,16,papadopoulos failing to live by his agreements with the fedsthe court could lead to charges being brought forwa,13,"[34, 4, 11, 9, 13, 48, 37, 41, 23, 32, 8, 18, 1]"
17,17,the idea mueller would dump papadopoulos as a witness just because his sentencingwhich will have conditions att,4,"[15, 34, 21, 41]"
18,18,i should also add as i accidentally left it out of tweet  that should papadopoulos have a suspended or defer,10,"[14, 43, 8, 48, 33, 28, 15, 20, 46, 7]"
19,19,news flash trump is not going to unblock you jared has security clearance gorsuch is approving laws based o,1,[49]
20,20,news flash trump is not going to unblock you jared has security clearance gorsuch is approving laws based o,4,"[3, 1, 33, 14]"
21,21,the only way to stop these people  for now is at the ballot box  are you out there registering voters are you,13,"[20, 44, 18, 43, 3, 26, 40, 16, 29, 45, 32, 19, 22]"
22,22,ignore the trump voters  they will never be convinced ever ignore the media if they dont get it we dont n,8,"[8, 33, 10, 34, 28, 41, 47, 20]"
23,23,if youre not sure what to do go to   and find a chapter in your area  they will give you work to,10,"[49, 2, 5, 13, 39, 8, 42, 10, 7, 32]"
24,24,foreign governments are not the only ones looking closely at  public filings as   and,12,"[18, 32, 23, 8, 11, 30, 45, 41, 6, 2, 13, 33]"
25,25,foreign governments are not the only ones looking closely at  public filings as   and,1,[17]
26,26,join me on a brief tourwe start in ca where folks need to look here,9,"[13, 36, 14, 19, 33, 38, 10, 11, 1]"
27,27,punch in  into fein field and then take a close look at rrf for  and first delnquency letterdue,4,"[49, 3, 13, 25]"
28,28,then punch in  and note that parent entity has an incomplete report for  that was rejected,8,"[39, 50, 23, 1, 42, 34, 11, 22]"
29,29,please note that  was ag and that  is california agso for how long has that state be,7,"[24, 49, 41, 1, 8, 46, 21]"
30,30,now we fly over to ny where there is a similar site punch both feins using dashes after first  numbers here,11,"[41, 49, 33, 50, 5, 32, 13, 11, 7, 15, 19]"
31,31,ny laws also require specifics concerning all government grantswhy are there still no amended disclosures from,11,"[26, 7, 9, 20, 21, 43, 17, 35, 4, 46, 14]"
32,32,then look carefully  amended bylaws filed almost four years late on  june  in nyclinton family illegall,12,"[6, 18, 43, 26, 17, 15, 49, 27, 25, 7, 13, 34]"
33,33,on  we have provided a link to the  november  agreement with national archives where,2,"[37, 1]"
34,34,folks sunlight is truly the greatest disinfectant of them all i admit that i was one of the skeptics that was,10,"[17, 40, 14, 24, 22, 11, 47, 44, 32, 50]"
35,35,folks sunlight is truly the greatest disinfectant of them all i admit that i was one of the skeptics that was,12,"[25, 44, 16, 23, 29, 7, 17, 8, 1, 40, 24, 10]"
36,36,like a formula  race car every single image imaginable of what will be their life going forward was playing it,3,"[7, 40, 48]"
37,37,after reading the post below i feel that my dream may actually become a reality there were plenty of guilty me,13,"[34, 20, 10, 24, 13, 45, 7, 6, 14, 18, 47, 12, 38]"
38,38,i have had visions for over a year of waking up and turning my tv on and seeing arrests being made simultaneousl,12,"[2, 7, 12, 9, 35, 32, 29, 13, 3, 24, 6, 40]"
39,39,country with our president he absolutely lit up as he spoke about candidate and now president donald j trump,5,"[44, 40, 28, 18, 2]"
40,40,that gun on their nightstand began to get louder and louder some may have actually picked it up only to put it,9,"[28, 2, 6, 7, 5, 15, 45, 35, 21]"
41,41,thread kenneys take on safe injection sites is horribly misguided even in a vacuum as  points out but,2,"[50, 5]"
42,42,thread kenneys take on safe injection sites is horribly misguided even in a vacuum as  points out but,1,[3]
43,43,kenney is suggesting that he knows better than people who have dedicated their lives and careers to this field the,15,"[22, 12, 4, 16, 37, 24, 41, 6, 49, 26, 27, 39, 38, 42, 47]"
44,44,whether it be healthcare education infrastructure the environment or harm reduction strategies for the opioid c,4,"[17, 28, 29, 48]"
45,45,im of the belief that the most successful politicians are the ones who will listen to the experts in whatever the,9,"[17, 32, 37, 24, 11, 42, 13, 48, 44]"
46,46,we see the same thing in the dealings with leach et al on environmental policy and the economics behind i,2,"[19, 8]"
47,47,i dont know when or why we decided that shunning evidencebased policy was the best way forward but its not a go,13,"[13, 34, 2, 7, 39, 27, 24, 49, 40, 9, 33, 26, 28]"
48,48,anons already know that trump is not a bad speller and there are no coincidencessoshould we be looking into,8,"[4, 43, 44, 10, 36, 1, 28, 31]"
49,49,anons already know that trump is not a bad speller and there are no coincidencessoshould we be looking into,7,"[47, 46, 43, 48, 40, 41, 30]"
50,50,foundations with misspellings of chidlren  not saying alibaba florida hospital foundation or moyer foundation,3,"[18, 32, 23]"
